IDNAME,RA,Dec,z,LookbackTime,SFR,F250,NAME_IAU,Feature
G15.DR1.4767,213.975098,0.729713023,1.22806728,8.57295036,934.668457,0.04842,HATLAS J141554.0+004346,-
G15.DR1.47671,214.905945,1.44637895,3.33943963,11.7616339,7268.98193,0.027127,HATLAS J141937.4+012646,-
G15.DR1.47678,220.577271,-0.525030017,4.54127884,12.3578329,18252.1133,0.020448,HATLAS J144218.5-003130,-
G15.DR1.4768,214.416504,-0.633620024,0.198009998,2.38939118,24.9443913,0.048669,HATLAS J141739.9-003801,-
G15.DR1.4770,220.546829,0.32811299,0.854608655,7.10712957,403.642578,0.045469,HATLAS J144211.2+001941,-
G15.DR1.47712,215.53714,0.00514299981,3.93072009,12.0996418,13004.5869,0.026916,HATLAS J142208.9+000018,-
G15.DR1.4772,215.087769,1.09965003,3.07291961,11.5690508,12238.8281,0.059911,HATLAS J142021.0+010558,-
G15.DR1.47722,217.860153,1.21191704,2.34400177,10.8450871,2611.49292,0.028122,HATLAS J143126.4+011242,-
G15.DR1.4773,221.22525,0.188407004,2.16174078,10.5998783,3449.72412,0.046031,HATLAS J144454.0+001118,-
G15.DR1.4775,217.3927,1.48589301,0.793734968,6.80743599,358.360199,0.047087,HATLAS J142934.2+012909,-
G15.DR1.4776,214.545349,-0.781800985,0.398334444,4.24797821,94.5417023,0.048175,HATLAS J141810.8-004654,-
G15.DR1.47769,218.580185,1.43768299,2.00960255,10.3677864,1673.08032,0.026948,HATLAS J143419.2+012615,-
G15.DR1.4779,221.168701,1.03564799,0.102260001,1.313833,8.70149708,0.060503,HATLAS J144440.4+010208,-
G15.DR1.4780,214.428787,-0.755182028,1.78966939,9.97894669,2188.45264,0.047077,HATLAS J141742.9-004518,-
G15.DR1.4781,213.784988,-0.797267973,0.139489993,1.74846148,15.3102207,0.058559,HATLAS J141508.3-004750,-
G15.DR1.4782,213.640167,0.766207993,0.608395338,5.7559824,216.622742,0.048522,HATLAS J141433.6+004558,-
G15.DR1.47828,213.20929,-0.0564039983,4.14705038,12.1998158,16800.2422,0.028003,HATLAS J141250.2-000323,-
G15.DR1.4783,215.403107,-0.229096994,1.60494995,9.59244823,2256.77124,0.063151,HATLAS J142136.7-001344,-
G15.DR1.4784,221.556366,-0.303505987,1.22566259,8.56522846,962.140503,0.050088,HATLAS J144613.5-001812,-
G15.DR1.4785,214.985031,-0.753126979,0.398799986,4.25177097,93.108345,0.047313,HATLAS J141956.4-004511,-
G15.DR1.4787,218.396912,0.718334973,1.54610181,9.45567322,2002.62671,0.061214,HATLAS J143335.2+004306,-
G15.DR1.4788,219.337204,0.787329018,0.0779300034,1.01774669,5.15582275,0.061256,HATLAS J143720.9+004714,-
G15.DR1.4789,216.212692,0.370460987,2.03783941,10.4129725,4342.62988,0.067482,HATLAS J142451.0+002213,-
G15.DR1.47890,220.024689,0.238558993,2.04807472,10.4291382,1589.76257,0.0244,HATLAS J144005.9+001418,-
G15.DR1.4790,214.399261,-0.823368013,1.92468429,10.2258291,2830.93921,0.050844,HATLAS J141735.8-004924,-
G15.DR1.4791,212.087173,-0.762804985,0.543694973,5.33175993,222.175064,0.061904,HATLAS J140820.9-004546,-
G15.DR1.47915,215.70079,0.560977995,2.54889226,11.0851059,3243.104,0.027744,HATLAS J142248.1+003339,-
G15.DR1.47919,216.048706,-0.60136199,1.82027245,10.037344,1321.33093,0.027263,HATLAS J142411.6-003604,-
G15.DR1.4792,217.238632,0.438623011,0.18434,2.24409103,20.0244751,0.044802,HATLAS J142857.2+002619,-
G15.DR1.47933,221.575897,-0.117343001,3.38908339,11.7943172,7320.14404,0.025967,HATLAS J144618.2-000702,-
G15.DR1.4794,220.833984,0.316233009,1.1232928,8.21730709,731.242188,0.046149,HATLAS J144320.1+001858,-
G15.DR1.4795,212.070694,-0.154670998,0.520820022,5.1737051,213.685272,0.065035,HATLAS J140816.9-000916,-
G15.DR1.4796,221.440384,-0.0518639982,0.939580679,7.49321222,520.326904,0.048181,HATLAS J144545.6-000306,-
