IDNAME,RA,Dec,z,LookbackTime,SFR,F500,Z_PHOT,F350,alpha250350,Z_SPEC,F250,NAME_IAU,FeatureType,FeatureName,FeatureZopt,FeatureZsubmm
G15.DR1.9110,220.263931,0.272996992,0.542645097,5.32459736,135.414276,0.00601813,0.32975249367190473,0.02329744,1.4468316708853968,-99.0,0.037908,HATLAS J144103.3+001622,-,,0.0,0.0
G15.DR1.9111,220.330704,0.574769974,0.596198022,5.67849016,157.479843,0.0057781,-0.002999885621320253,0.0209345,1.6686665904142135,-99.0,0.036703,HATLAS J144119.3+003429,-,,0.0,0.0
G15.DR1.9112,218.369934,0.161568999,0.521615982,5.17927408,162.669022,0.020222,0.9669612831511358,0.034972,1.0220258112325762,-99.0,0.049325,HATLAS J143328.7+000941,-,,0.0,0.0
G15.DR1.9115,218.737228,0.797257006,0.254815996,2.96601391,40.1399078,0.003552,-1.7648555043273122,0.018575,2.843237002884875,-99.0,0.048351,HATLAS J143456.9+004750,-,,0.0,0.0
G15.DR1.91198,218.068054,1.284374,4.23104858,12.2359676,13365.1279,0.03577198,2.837656838972064,0.02191993,-0.22510455931470955,-99.0,0.020321,HATLAS J143216.3+011703,-,,0.0,0.0
G15.DR1.912,217.29129,-0.351806998,0.0349700004,0.470283598,2.21124172,0.029454,0.13981263536912802,0.049602,1.573458243087248,0.03497,0.084222,HATLAS J142909.9-002106,-,,0.0,0.0
G15.DR1.9121,217.559265,1.43303597,0.488674253,4.94407749,117.488998,0.004405,0.42910679892466597,0.025359,1.380595467383556,-99.0,0.040353,HATLAS J143014.2+012558,-,,0.0,0.0
G15.DR1.9125,215.656418,1.06127298,1.55760646,9.48299694,1671.17993,0.026452,1.3480182421244111,0.038794,0.7679878385837259,-99.0,0.050233,HATLAS J142237.5+010340,-,,0.0,0.0
G15.DR1.9126,213.57132,0.640223026,0.114320002,1.45701671,9.25000668,0.002607,-0.4815935597590473,0.026583,1.9877290398393648,0.11432,0.051888,HATLAS J141417.1+003824,-,,0.0,0.0
G15.DR1.91261,218.924683,-0.543623984,4.31330395,12.2700109,14410.2383,0.03633364,2.3668095805751794,0.01957242,0.08879361294988027,-99.0,0.020166,HATLAS J143541.9-003237,-,,0.0,0.0
G15.DR1.9127,220.147736,-0.126262993,1.35736203,8.96405888,1175.48279,0.019732,1.71166805944707,0.040753,0.5255546270352868,-99.0,0.048636,HATLAS J144035.4-000734,-,,0.0,0.0
G15.DR1.9129,216.924652,0.631564021,0.0157674216,0.214880258,0.134948298,-0.0033893,-0.060558597661251934,0.02105502,1.7070390651075014,0.12513,0.037394,HATLAS J142741.9+003753,-,,0.0,0.0
G15.DR1.9131,214.999283,0.315403998,1.18772864,8.44042778,725.810181,0.015245,1.2402434451006004,0.030568,0.8398377032662664,-99.0,0.04055,HATLAS J141959.8+001855,-,,0.0,0.0
G15.DR1.9132,214.541718,-0.745905995,0.961284637,7.58626509,417.554688,0.00816422,1.4999773209327072,0.02945493,0.6666817860448618,-99.0,0.036862,HATLAS J141810.0-004445,-,,0.0,0.0
G15.DR1.9133,221.296585,1.49953496,1.93684995,10.2467756,2790.97681,0.031663,1.7797372252079353,0.041979,0.48017518319470986,-99.0,0.04934,HATLAS J144511.1+012958,-,,0.0,0.0
G15.DR1.9137,213.712601,0.867981017,1.13395143,8.25521946,623.969116,0.01190366,1.578504741894132,0.03135034,0.6143301720705786,-99.0,0.038549,HATLAS J141451.0+005204,-,,0.0,0.0
G15.DR1.9138,217.024704,0.390686989,1.22240281,8.55464935,756.554382,0.01409412,1.572840235912366,0.03220398,0.6181065093917559,-99.0,0.039649,HATLAS J142805.9+002326,-,,0.0,0.0
G15.DR1.91385,216.020035,-0.693215013,3.46653605,11.8436213,6099.03223,0.02191385,4.9577757447667725,0.03481309,-1.6385171631778483,-99.0,0.020059,HATLAS J142404.8-004135,-,,0.0,0.0
G15.DR1.914,213.14035,0.156073004,1.11605668,8.19134808,1751.13184,0.040675,1.087125017521586,0.081616,0.9419166549856093,-99.0,0.112051,HATLAS J141233.6+000921,-,,0.0,0.0
G15.DR1.9141,218.177628,0.344357014,1.4250896,9.15044785,1326.18091,0.024861,0.9584524474780332,0.03471,1.027698368347978,-99.0,0.049049,HATLAS J143242.6+002039,-,,0.0,0.0
G15.DR1.9142,215.441635,-0.713496029,0.865501285,7.1586585,466.761932,0.011215,1.1514801704037607,0.037916,0.8990132197308263,-99.0,0.051309,HATLAS J142145.9-004248,-,,0.0,0.0
G15.DR1.9145,212.887009,0.897603989,0.603148997,5.72279072,225.817184,0.011799,-1.5223729437210247,0.020855,2.681581962480683,-99.0,0.051412,HATLAS J141132.8+005351,-,,0.0,0.0
G15.DR1.9148,220.85672,-0.269704014,1.62234879,9.63159657,1373.37012,0.01635966,2.731879693131785,0.03946317,-0.15458646208785684,-99.0,0.037463,HATLAS J144325.6-001610,-,,0.0,0.0
G15.DR1.9149,214.191391,-0.571723998,1.61764514,9.62103176,1659.78467,0.023779,1.7216583371029683,0.038299,0.5188944419313545,-99.0,0.045605,HATLAS J141645.9-003418,-,,0.0,0.0
G15.DR1.9150,217.549271,0.170470998,1.39947391,9.08135128,1050.60046,0.016734,1.8427062519754274,0.034948,0.4381958320163818,-99.0,0.0405,HATLAS J143011.8+001013,-,,0.0,0.0
G15.DR1.9151,221.798035,0.816470981,0.650289893,6.01381493,247.828156,0.012942,0.015430482218067532,0.027917,1.6563796785212883,-99.0,0.048743,HATLAS J144711.5+004859,-,,0.0,0.0
G15.DR1.9152,216.513275,1.40172195,1.80000222,9.9988184,1812.14673,0.02277709,1.74508909240723,0.03244774,0.50327393839518,-99.0,0.038435,HATLAS J142603.1+012406,-,,0.0,0.0
G15.DR1.9154,220.778076,-0.165750995,0.0,0.0,0.0,-0.0018306,-0.5279603054660851,0.01997078,2.0186402036440567,-99.0,0.039389,HATLAS J144306.7-000956,-,,0.0,0.0
G15.DR1.9156,220.746887,-0.66831398,1.98011982,10.3196192,2293.9978,0.02616536,1.3269240599205914,0.02947948,0.7820506267196058,-99.0,0.038353,HATLAS J144259.2-004005,-,,0.0,0.0
G15.DR1.9157,218.325134,-0.934054017,0.219556704,2.61316395,30.6956654,0.019172,-2.312341920939753,0.016622,3.2082279472931683,-99.0,0.048921,HATLAS J143318.0-005602,-,,0.0,0.0
G15.DR1.91573,212.223282,-0.955959976,3.16495681,11.638958,4556.06299,0.0189797,4.962576261832752,0.03535792,-1.6417175078885016,-99.0,0.020351,HATLAS J140853.5-005721,-,,0.0,0.0
G15.DR1.9160,221.742294,0.630272985,2.33307624,10.8312988,3635.26831,0.028843,3.112723476143894,0.04549303,-0.40848231742926266,-99.0,0.039651,HATLAS J144658.1+003748,-,,0.0,0.0
G15.DR1.9162,215.540939,0.541612029,0.877535641,7.21487045,444.178436,0.013491,0.7068571691548007,0.031772,1.1954285538967995,-99.0,0.047504,HATLAS J142209.8+003229,-,,0.0,0.0
G15.DR1.9163,213.177536,0.217129007,0.518601298,5.15815592,173.015045,0.005128,0.6608923442168124,0.035028,1.2260717705221251,-99.0,0.052915,HATLAS J141242.6+001301,-,,0.0,0.0
G15.DR1.91692,213.577896,0.518930972,4.41994953,12.3122463,15514.9961,0.03642516,5.351326534987969,0.03699104,-1.900884356658646,-99.0,0.019513,HATLAS J141418.6+003108,-,,0.0,0.0
G15.DR1.917,212.68689,0.649474025,0.149910003,1.86626589,36.6615448,0.041781,0.908922661183609,0.073906,1.060718225877594,0.14991,0.105604,HATLAS J141044.8+003858,-,,0.0,0.0
G15.DR1.9171,219.166519,0.335247993,1.42854774,9.15965176,1367.09497,0.02375,1.3626349531635995,0.03894,0.7582433645576003,-99.0,0.050257,HATLAS J143639.9+002006,-,,0.0,0.0
G15.DR1.9173,219.847961,-0.217463002,0.744859159,6.55152702,327.634796,0.013106,0.34596571880486504,0.030229,1.4360228541300901,-99.0,0.049008,HATLAS J143923.5-001302,-,,0.0,0.0
G15.DR1.9174,214.279709,0.63714999,0.514036536,5.12600946,117.464134,0.00481861,0.3750694882290029,0.02278796,1.4166203411806646,0.16798,0.036704,HATLAS J141707.1+003813,-,,0.0,0.0
G15.DR1.9176,218.578186,0.531916976,0.405770004,4.30827093,101.431503,0.01954,0.5382853825271974,0.032252,1.3078097449818684,-99.0,0.05008,HATLAS J143418.7+003154,-,,0.0,0.0
G15.DR1.9179,218.832428,-0.343980014,1.88060474,10.1481934,2584.88818,0.029191,2.214949496462059,0.046146,0.1900336690252942,0.25014,0.049193,HATLAS J143519.7-002038,-,,0.0,0.0
G15.DR1.918,214.982895,0.57852298,1.64182353,9.67462826,3827.43457,0.055181,1.4972517277788187,0.081035,0.6684988481474542,-99.0,0.101475,HATLAS J141955.8+003442,-,,0.0,0.0
G15.DR1.9181,212.362076,-0.226648003,1.37616324,9.01703262,1322.19958,0.024459,1.2362223412000497,0.039924,0.8425184391999669,-99.0,0.053009,HATLAS J140926.8-001335,-,,0.0,0.0
G15.DR1.9183,219.716705,1.45964706,1.66037953,9.71496391,1582.40869,0.022624,1.5292250218772374,0.03285,0.6471833187485084,-99.0,0.040842,HATLAS J143852.0+012734,-,,0.0,0.0
G15.DR1.9184,218.866806,0.304511011,0.594109476,5.66510582,214.271164,0.01378,-0.24906860700326394,0.027187,1.8327124046688428,-99.0,0.05037,HATLAS J143528.0+001816,-,,0.0,0.0
G15.DR1.9185,221.467224,-0.875712991,0.263779998,3.05316687,44.9462929,0.011487,-1.0756515945019283,0.022589,2.383767729667952,0.26378,0.050377,HATLAS J144552.1-005232,-,,0.0,0.0
G15.DR1.919,219.272186,-0.536031008,0.10605,1.35908163,16.6087551,0.015664,-0.5663689327145005,0.05414,2.0442459551430003,0.10605,0.107706,HATLAS J143705.3-003209,-,,0.0,0.0
G15.DR1.9191,221.540497,-0.313629001,2.05421042,10.4387064,2574.97705,0.02656003,1.9199068206144667,0.03442587,0.3867287862570221,-99.0,0.03921,HATLAS J144609.7-001849,-,,0.0,0.0
G15.DR1.9192,218.886749,-0.194527999,0.139459997,1.74811995,12.8449831,-0.007976,-2.7101789543562216,0.015275,3.4734526362374814,0.13946,0.049153,HATLAS J143532.8-001140,-,,0.0,0.0
G15.DR1.9193,215.843964,-0.0935150012,0.709613979,6.35795307,305.491028,0.037724,2.0340503273244646,0.045436,0.3106331151170235,-99.0,0.050442,HATLAS J142322.5-000536,-,,0.0,0.0
G15.DR1.9195,220.794678,1.45946896,0.545298994,5.34267712,173.858398,0.017383,1.277098478176673,0.036752,0.8152676812155513,-99.0,0.048352,HATLAS J144310.7+012734,-,,0.0,0.0
G15.DR1.9196,214.248215,1.41177106,2.43077683,10.9509468,3793.59863,0.02987158,2.171355082513907,0.03435097,0.21909661165739552,-99.0,0.036979,HATLAS J141659.5+012442,-,,0.0,0.0
G15.DR1.9197,214.282059,-0.700848997,0.506908894,5.07544279,142.310593,0.006311,0.3012771315622258,0.027781,1.4658152456251827,-99.0,0.045493,HATLAS J141707.6-004203,-,,0.0,0.0
G15.DR1.9198,218.736954,1.34151804,0.482710004,4.90047073,144.32402,0.008424,0.8068495605647819,0.034728,1.1287669596234788,-99.0,0.050772,HATLAS J143456.8+012029,-,,0.0,0.0
G15.DR1.9199,213.335693,0.588243008,1.49031091,9.31913757,1505.65369,0.024087,1.5751591993139753,0.040795,0.6165605337906831,0.13837,0.0502,HATLAS J141320.5+003517,-,,0.0,0.0
G15.DR1.920,213.502136,1.48461902,0.898945332,7.31304121,793.176819,0.024655,0.6533176947228521,0.053149,1.2311215368514319,-99.0,0.080426,HATLAS J141400.5+012904,-,,0.0,0.0
